membership,xiaojia,score
1,1,5.777777778
1,1,5.666666667
1,1,5.222222222
1,1,5.333333333
1,1,5.444444444
1,1,5
1,1,6.222222222
1,1,4.333333333
1,1,5.777777778
1,1,5.444444444
1,1,4.444444444
1,1,6
1,1,5.555555556
1,1,5.333333333
1,1,6
1,1,5.666666667
1,1,5.444444444
1,1,5.555555556
1,1,6.333333333
1,1,6
1,1,4.666666667
1,1,6.222222222
1,1,5.222222222
1,1,5
1,1,6
1,1,6.222222222
1,1,4.777777778
1,1,5.444444444
1,1,5.222222222
1,1,6.333333333
1,1,4.333333333
1,1,5.555555556
1,1,5.111111111
1,1,5.333333333
1,1,4.777777778
1,1,6.222222222
1,1,5.555555556
1,1,5.666666667
1,1,5.666666667
1,1,4.777777778
1,1,5.666666667
1,1,5.666666667
1,1,5.111111111
1,1,5
1,1,5.222222222
1,1,5.111111111
1,1,5.111111111
1,1,3.666666667
1,1,5.222222222
1,1,4.888888889
1,1,5
1,1,5.555555556
1,1,6
1,1,5.555555556
1,1,5.222222222
1,1,6
1,1,5.888888889
1,1,6.111111111
1,1,4.333333333
1,1,5.555555556
1,1,3.666666667
1,1,6.111111111
1,1,5.888888889
1,1,6
1,1,5.888888889
1,1,5.777777778
1,1,5.555555556
1,1,4.888888889
1,1,5.555555556
1,1,5.888888889
1,1,5.666666667
1,1,4.777777778
1,1,4.888888889
1,1,5.222222222
1,1,6
1,1,5.333333333
1,1,6.666666667
1,1,5.555555556
1,1,5.111111111
1,1,5.666666667
1,1,5.444444444
1,2,5.888888889
1,2,5.333333333
1,2,5
1,2,6.222222222
1,2,7
1,2,3.666666667
1,2,5.333333333
1,2,5
1,2,4
1,2,4.666666667
1,2,4.222222222
1,2,6.111111111
1,2,5
1,2,4.333333333
1,2,3.888888889
1,2,3.666666667
1,2,6.888888889
1,2,6
1,2,7
1,2,6.333333333
1,2,4.888888889
1,2,3.333333333
1,2,4.777777778
1,2,3.777777778
1,2,7
1,2,6.444444444
1,2,4.666666667
1,2,7
1,2,3.777777778
1,2,6.888888889
1,2,4.444444444
1,2,5.777777778
1,2,3.888888889
1,2,5.777777778
1,2,5.555555556
1,2,3.444444444
1,2,5.888888889
1,2,4
1,2,3.555555556
1,2,4.222222222
1,2,4.888888889
1,2,5.333333333
1,2,3.666666667
1,2,5.333333333
1,2,5.444444444
1,2,3
1,2,6.111111111
1,2,2.444444444
1,2,6.222222222
1,2,3.888888889
1,2,6.222222222
1,2,4.333333333
1,2,7
1,2,7
1,2,5.777777778
1,2,7
1,2,4.111111111
1,2,3
1,2,5.666666667
1,2,4.555555556
1,2,2.888888889
1,2,3
1,2,6.444444444
1,2,4.444444444
1,2,4.444444444
1,2,4.111111111
1,2,4.888888889
1,2,4.555555556
1,2,4.666666667
1,2,3.666666667
1,2,4.222222222
1,2,4.333333333
1,2,5.666666667
1,2,4.888888889
1,2,6
1,2,5.222222222
1,2,4.888888889
1,2,4.777777778
1,2,4.555555556
1,2,5.777777778
1,2,3.666666667
2,1,5.111111111
2,1,5.111111111
2,1,4.444444444
2,1,4.777777778
2,1,4
2,1,3.888888889
2,1,4.777777778
2,1,3.333333333
2,1,4.666666667
2,1,5
2,1,3.777777778
2,1,4.222222222
2,1,4.444444444
2,1,5
2,1,4.555555556
2,1,5
2,1,4.777777778
2,1,5.111111111
2,1,4.333333333
2,1,5.333333333
2,1,4.333333333
2,1,5.111111111
2,1,3.666666667
2,1,4.333333333
2,1,5.888888889
2,1,4
2,1,3.888888889
2,1,4.777777778
2,1,4.888888889
2,1,6.444444444
2,1,3
2,1,5.555555556
2,1,4
2,1,4.444444444
2,1,3.888888889
2,1,4.555555556
2,1,3.222222222
2,1,5.777777778
2,1,5
2,1,4
2,1,4.222222222
2,1,4
2,1,4.222222222
2,1,4.333333333
2,1,4
2,1,5.111111111
2,1,4.888888889
2,1,4
2,1,4.888888889
2,1,4.222222222
2,1,3.888888889
2,1,3.777777778
2,1,4.555555556
2,1,5.555555556
2,1,4.333333333
2,1,4.666666667
2,1,4
2,1,3.666666667
2,1,4.222222222
2,1,3.222222222
2,1,4.111111111
2,1,5.444444444
2,1,4.666666667
2,1,5.111111111
2,1,3.777777778
2,1,4.444444444
2,1,4.666666667
2,1,4
2,1,4.666666667
2,1,4.777777778
2,1,4.444444444
2,1,3.888888889
2,1,4.333333333
2,1,5
2,1,4.111111111
2,1,4.444444444
2,1,5.444444444
2,1,3.111111111
2,1,3.666666667
2,1,2.777777778
