alpha11,alpha12,theta11,theta12,beta11,beta12
1.305712176,1.606060083,0.644263097,0.233269171,1.187892257,1.071584521
0.402660129,1.804069803,0.661044969,-0.64270625,0.857461438,1.11579848
0.718014806,0.998133229,0.735345231,0.549506666,1.297660652,1.199782759
0.347375639,0.631665722,0.385013456,1.17470923,1.671878119,0.976824481
0.769509024,1.107219981,0.746299303,0.826826285,0.967720418,0.924783475
1.007507659,1.240939898,0.573149512,0.713784433,1.228114708,1.192408105
2.156883755,1.199124196,0.676805744,0.188484918,1.089846512,0.904332128
2.053616679,1.166719267,0.531741885,0.300896191,1.191956462,1.131952002
0.681159426,3.484328401,0.394071425,-0.186553347,1.961558348,1.002800936
0.845869901,1.339879157,0.722852206,0.149595704,1.031575702,0.887447491
0.823782111,1.499292939,0.57704906,0.895718079,1.013382008,1.044266877
3.004963948,1.520532458,0.477864402,0.46071567,1.067981996,0.769525615
0.49640095,0.725054894,0.688997977,0.739648401,1.181454464,0.983251389
1.253976763,0.801767238,0.010885932,0.442083933,1.330023245,1.493089525
0.978846228,2.201913884,0.465387321,-0.535909303,1.440120771,0.958388281
2.763802373,2.543266413,0.508715818,0.358776789,0.909392446,0.921308345
0.95167365,0.971067033,0.701675655,0.619863305,1.203628156,1.035452285
1.051762546,1.345500658,0.751304824,0.440418528,1.164017745,0.76107376
0.376139455,1.483448185,0.674743793,0.524856242,2.328358262,1.741017131
0.661034066,0.714848999,0.566954021,-0.217619327,0.487500844,1.45859873
0.533525107,1.306010962,0.407766577,1.061313092,1.108583239,0.841120661
0.530804561,0.636056989,0.715631104,0.891927935,0.957532693,0.954042237
0.409519504,0.441554166,0.743597782,0.840226095,1.205446275,1.182753975
0.447191085,0.913127587,0.647956486,0.960914943,1.665025168,1.283593508
1.060550607,1.122332798,0.761771825,0.8735505,0.838717209,0.844456093
0.433927337,1.202503922,0.744073786,-0.088180862,2.564802816,1.865388564
0.628549018,0.999954128,0.784355795,-0.074255011,1.966903604,0.925416706
0.805269073,1.522106609,0.474573932,0.786066461,1.094367166,0.799074054
0.833790243,1.747812888,0.642643705,0.065448429,1.435249432,1.114963013
0.431479629,2.807618392,0.670492017,-0.07787729,1.799574183,1.546079245
0.494858799,2.225348776,0.708082076,-0.041728486,1.993861613,1.523429406
1.56852318,3.013020129,0.428374127,0.368883321,0.762523524,0.997859776
0.347464362,2.190368833,0.65085271,0.043962113,2.579281833,1.479259998
0.43291891,1.396935768,0.725767757,-0.237450739,2.361662788,1.144156665
1.593038212,1.621910786,0.664247582,0.341942034,2.209843588,2.217310119
2.277452261,1.896448474,0.475272399,0.433988207,1.069978413,1.071473389
0.534201475,0.583377664,0.701590357,0.887976814,1.003160282,0.954961645
0.717622973,1.109204068,0.650977384,0.843749085,1.741364686,1.980584119
1.158538455,2.423732111,-0.009126454,-0.309822979,1.391046556,1.568023885
0.412781518,0.752916274,0.750186825,1.110038922,2.272621126,2.235220456
1.269123017,1.346501117,0.664733849,0.74340692,1.035247843,1.038248879
1.29311227,1.200020022,0.640914267,0.561664473,0.726314943,0.758859224
1.845047758,1.67374946,0.408162921,0.603031333,0.859840914,0.814613649
0.560367746,3.099762188,0.256873073,0.536242612,2.41198691,1.482585435
1.245977832,1.775585342,0.579647832,-0.033114177,1.011879335,1.001398788
2.455849467,3.200812432,0.102782625,0.606490933,1.134172899,0.496181805
1.061624869,1.16690293,0.811302325,0.532389814,0.878753465,0.88885052
1.564041952,1.186507351,0.684668902,0.220384724,1.064746449,0.953006696
0.375299534,0.759358827,0.545962689,0.069274369,1.041922393,1.283684648
0.729181018,1.247762751,0.642125237,0.564354126,1.949613992,1.907125901
0.379798759,0.738620801,0.644101125,-0.229208828,0.8337319,1.0445906
0.610697388,0.997406867,0.464556477,-0.279433043,0.629124066,1.220671554
1.089146736,1.267326238,0.796729912,0.210840283,1.184919086,0.866083644
1.48905303,2.389915295,0.487035124,0.382738681,0.944708643,0.953587458
0.343028335,0.924128152,0.698695894,-0.165763839,2.208623728,0.825554231
0.862752287,0.802647856,0.577297406,0.7026394,1.421490096,1.38596416
0.611551488,0.692585238,0.5605213,0.966911282,1.374728409,1.254208776
