subjid,beta_outGvsinG,Fout_in,UFout_in,rmpfc,mpfc
901,-0.198203075,0.05555,1.05555,7.803358108,8.141164489
902,0.163066279,-1.44445,-1.4444,0.689161318,2.058904809
903,-0.168175871,0.1111,0.6667,0.90787963,2.393694481
904,0.03088487,0.05555,0.2222,-0.075274156,1.173483463
905,-0.402943985,0.94445,1.6667,-8.330034192,-9.368058027
906,0.011915899,0,0,1.455832281,2.753194487
907,-0.298456381,0,-0.2778,-1.064742867,-2.433931929
908,-0.48173249,3.5556,1.9445,-2.422795456,-1.733064989
909,-0.267462579,0.2222,2.5556,0.720102545,1.954645338
910,-0.003490457,0,1.27775,1.229714611,2.431626923
912,-0.587341132,0.33335,1.72225,-5.887422726,-8.802795676
913,0.005738884,0,0,-0.208469575,-0.31530472
914,-0.38143166,0,1.1111,4.186707874,3.70238766
915,0.971097887,1.38895,3.8333,-1.183420001,0.297281628
916,-0.0226923,0,0.11115,-8.660506978,-8.066816283
917,-0.295293112,0.55555,1.5,-8.624777496,-3.698382152
918,-0.320286418,1.2778,1.8333,-1.653522229,-3.466032935
919,0.235336252,0.22225,0.2222,-0.665207937,-1.3092786
920,-0.699414252,1.7778,2.83335,-12.53479449,-14.27299491
921,-1.100021835,1.8889,2.2778,-7.489275231,-13.0460445
922,-0.470432207,1.94445,1.8889,-6.652050766,-9.043432244
923,-1.041486898,2.1111,1.94445,-7.929223893,-8.107363462
924,-0.253494938,1.94445,1.8889,-9.785617107,-11.38404981
925,-0.048198636,0,0.2222,4.873405675,5.611909062
926,0.001494976,-0.11115,-0.61115,1.047553735,3.485931539
927,0.003001036,0,0.2778,-23.49991632,-20.6085758
928,0.007466532,0.05555,0,-1.604151632,-3.936216673
929,0.032544281,0.05555,-0.27775,0.023494691,1.197082834
930,0.239219433,0,0.16665,-11.78420651,-13.05080574
931,-1.217506123,1.83335,4.33335,-2.018054788,-3.380266899
932,-0.037400669,0,0.05555,-8.792403343,-8.755191504
933,-0.010480547,1,1,-4.294947703,-5.163977754
934,-0.637991094,0.94445,1.1111,3.546916738,0.038967523
935,-0.929401474,0.55555,1.44445,-3.057551561,-8.628724091
936,-0.042488091,0.1111,0.5,-1.189952682,-1.697236169
937,-0.111739754,0.55555,-0.2222,-2.238184712,-1.066488425
938,0.010097055,0.16665,0.05555,-3.044792454,-2.030118618
939,-0.045227265,-0.1111,-0.3889,-4.277550228,-4.584633081
9021,0.258337042,5.2222,4.94445,-5.7343248,-5.484042785
9031,-0.695053637,-0.05555,1.55555,-0.277479184,-0.022618894
9061,-0.097877892,0.1111,0.6111,-8.493188281,-8.001408417
9071,-0.116307736,0.6111,1.1667,2.452389732,2.218537893
9101,-0.042936943,0,0.22225,-1.994829648,0.445449665
9111,-0.035706603,0,0.2222,2.570899479,3.225109007
9141,0.241762255,1.05555,1.55555,1.379169211,2.059803975
9151,-0.185514384,-0.05555,0.44445,8.373309161,9.131587336
9181,-0.958757412,2.22225,3.49995,-8.030077358,-11.54088257
9221,-0.144128211,1.05555,1.2222,-10.93471634,-10.92773905
9231,-0.06000446,0.22225,-0.38895,0.121598868,-1.014837586
9261,0.591547487,2.3889,3.9445,-6.119289013,-9.136704534
9271,-1.383069498,1.94445,2.7778,-3.208092536,-3.037666315
9301,-0.318835442,0.66665,1.7778,-0.78726354,-0.556147747
9311,0.17697733,1.05555,0.88895,2.972547284,5.92556256
9341,-0.120519633,0,0.1111,-6.925502524,-1.587751879
9351,-0.035525936,-5.00E-05,-0.27775,-4.810308088,-5.424725814
9381,0.210858701,1.6111,3.11115,-0.383189726,0.696924364
9391,0.008878815,0.2778,0.33335,-8.386053988,-12.4263328
